date,nav,currency,source
2022-06-10,16.1158,USD,anuefund_public
2022-06-13,15.4486,USD,anuefund_public
2022-06-14,15.4481,USD,anuefund_public
2022-06-15,15.5824,USD,anuefund_public
2022-06-16,15.0876,USD,anuefund_public
2022-06-17,15.0268,USD,anuefund_public
2022-06-20,15.0065,USD,anuefund_public
2022-06-21,15.2996,USD,anuefund_public
2022-06-22,15.0776,USD,anuefund_public
2022-06-23,15.1405,USD,anuefund_public
2022-06-24,15.5093,USD,anuefund_public
2022-06-27,15.6273,USD,anuefund_public
2022-06-28,15.4106,USD,anuefund_public
2022-06-29,15.1523,USD,anuefund_public
2022-06-30,14.9296,USD,anuefund_public
2022-07-01,14.6648,USD,anuefund_public
2022-07-04,14.6352,USD,anuefund_public
2022-07-05,14.6458,USD,anuefund_public
2022-07-06,14.6155,USD,anuefund_public
2022-07-07,14.9925,USD,anuefund_public
2022-07-08,15.0508,USD,anuefund_public
2022-07-11,14.7677,USD,anuefund_public
2022-07-12,14.5868,USD,anuefund_public
2022-07-13,14.6862,USD,anuefund_public
2022-07-14,14.8602,USD,anuefund_public
2022-07-15,14.9545,USD,anuefund_public
2022-07-18,14.9829,USD,anuefund_public
2022-07-19,15.0937,USD,anuefund_public
2022-07-20,15.2718,USD,anuefund_public
2022-07-21,15.5093,USD,anuefund_public
2022-07-22,15.3266,USD,anuefund_public
2022-07-25,15.2061,USD,anuefund_public
2022-07-26,15.0193,USD,anuefund_public
2022-07-27,15.3715,USD,anuefund_public
2022-07-28,15.4752,USD,anuefund_public
2022-07-29,15.6355,USD,anuefund_public
2022-08-01,15.5948,USD,anuefund_public
2022-08-02,15.4832,USD,anuefund_public
2022-08-03,15.6673,USD,anuefund_public
2022-08-04,15.7519,USD,anuefund_public
2022-08-05,15.7915,USD,anuefund_public
2022-08-08,15.7519,USD,anuefund_public
2022-08-09,15.5263,USD,anuefund_public
2022-08-10,15.6903,USD,anuefund_public
2022-08-11,15.7133,USD,anuefund_public
2022-08-12,15.9175,USD,anuefund_public
2022-08-15,16.1002,USD,anuefund_public
2022-08-16,16.083,USD,anuefund_public
2022-08-17,15.9541,USD,anuefund_public
2022-08-18,16.1706,USD,anuefund_public
2022-08-19,15.9699,USD,anuefund_public
2022-08-22,15.6543,USD,anuefund_public
2022-08-23,15.6133,USD,anuefund_public
2022-08-24,15.5822,USD,anuefund_public
2022-08-25,15.8552,USD,anuefund_public
2022-08-26,15.5759,USD,anuefund_public
2022-08-29,15.3273,USD,anuefund_public
