date,nav,currency,source
2023-03-03,100.8576,USD,anuefund_public
2023-03-06,101.75,USD,anuefund_public
2023-03-07,99.547,USD,anuefund_public
2023-03-08,96.1021,USD,anuefund_public
2023-03-09,96.4741,USD,anuefund_public
2023-03-10,96.1737,USD,anuefund_public
2023-03-13,102.839,USD,anuefund_public
2023-03-14,103.7757,USD,anuefund_public
2023-03-15,105.3638,USD,anuefund_public
2023-03-16,103.0506,USD,anuefund_public
2023-03-17,105.0588,USD,anuefund_public
2023-03-20,110.7738,USD,anuefund_public
2023-03-21,106.9285,USD,anuefund_public
2023-03-22,107.37,USD,anuefund_public
2023-03-23,110.7488,USD,anuefund_public
2023-03-24,111.1761,USD,anuefund_public
2023-03-27,112.8915,USD,anuefund_public
2023-03-28,112.272,USD,anuefund_public
2023-03-29,115.7367,USD,anuefund_public
2023-03-30,116.0699,USD,anuefund_public
2023-03-31,117.6321,USD,anuefund_public
2023-04-03,117.5412,USD,anuefund_public
2023-04-04,118.7561,USD,anuefund_public
2023-04-05,124.4926,USD,anuefund_public
2023-04-06,124.7149,USD,anuefund_public
2023-04-11,124.553,USD,anuefund_public
2023-04-12,127.8248,USD,anuefund_public
2023-04-13,128.122,USD,anuefund_public
2023-04-14,131.0829,USD,anuefund_public
2023-04-17,128.0725,USD,anuefund_public
2023-04-18,126.3683,USD,anuefund_public
2023-04-19,126.1307,USD,anuefund_public
2023-04-20,123.4009,USD,anuefund_public
2023-04-21,124.1313,USD,anuefund_public
2023-04-24,123.1309,USD,anuefund_public
2023-04-25,122.8322,USD,anuefund_public
2023-04-26,123.3536,USD,anuefund_public
2023-04-27,122.1305,USD,anuefund_public
2023-04-28,122.3863,USD,anuefund_public
2023-05-01,122.3537,USD,anuefund_public
2023-05-02,121.9186,USD,anuefund_public
2023-05-03,127.2567,USD,anuefund_public
2023-05-04,127.9601,USD,anuefund_public
2023-05-05,131.9225,USD,anuefund_public
2023-05-08,131.6461,USD,anuefund_public
2023-05-09,129.4599,USD,anuefund_public
2023-05-10,131.7496,USD,anuefund_public
2023-05-11,127.8741,USD,anuefund_public
2023-05-12,122.4977,USD,anuefund_public
2023-05-15,124.3623,USD,anuefund_public
2023-05-16,124.4669,USD,anuefund_public
2023-05-17,120.7405,USD,anuefund_public
2023-05-18,118.4832,USD,anuefund_public
2023-05-19,117.6085,USD,anuefund_public
2023-05-22,116.9262,USD,anuefund_public
2023-05-23,117.3478,USD,anuefund_public
2023-05-24,115.4535,USD,anuefund_public
2023-05-25,112.4217,USD,anuefund_public
2023-05-26,111.7236,USD,anuefund_public
2023-05-30,112.4989,USD,anuefund_public
2023-05-31,111.5862,USD,anuefund_public
2023-06-01,113.3289,USD,anuefund_public
2023-06-02,117.6314,USD,anuefund_public
2023-06-05,115.0167,USD,anuefund_public
2023-06-06,115.1002,USD,anuefund_public
2023-06-07,117.823,USD,anuefund_public
2023-06-08,115.2313,USD,anuefund_public
2023-06-09,114.9989,USD,anuefund_public
2023-06-12,114.7764,USD,anuefund_public
2023-06-13,114.3982,USD,anuefund_public
2023-06-14,114.117,USD,anuefund_public
2023-06-15,113.6716,USD,anuefund_public
2023-06-16,113.5628,USD,anuefund_public
2023-06-19,115.3082,USD,anuefund_public
2023-06-20,114.3679,USD,anuefund_public
2023-06-21,109.8437,USD,anuefund_public
2023-06-22,110.0739,USD,anuefund_public
2023-06-23,109.4947,USD,anuefund_public
2023-06-26,109.7318,USD,anuefund_public
2023-06-27,110.0247,USD,anuefund_public
2023-06-28,107.4491,USD,anuefund_public
2023-06-29,107.1824,USD,anuefund_public
2023-06-30,108.9948,USD,anuefund_public
2023-07-03,110.2646,USD,anuefund_public
2023-07-04,112.5436,USD,anuefund_public
2023-07-05,111.6671,USD,anuefund_public
2023-07-06,109.4791,USD,anuefund_public
2023-07-07,107.0761,USD,anuefund_public
2023-07-10,108.2256,USD,anuefund_public
2023-07-11,111.034,USD,anuefund_public
2023-07-12,112.5631,USD,anuefund_public
2023-07-13,116.771,USD,anuefund_public
2023-07-14,118.375,USD,anuefund_public
2023-07-17,116.8702,USD,anuefund_public
2023-07-18,116.7311,USD,anuefund_public
2023-07-19,117.9352,USD,anuefund_public
2023-07-20,119.2608,USD,anuefund_public
2023-07-21,114.6324,USD,anuefund_public
2023-07-24,115.3533,USD,anuefund_public
2023-07-25,114.3043,USD,anuefund_public
2023-07-26,114.7886,USD,anuefund_public
2023-07-27,115.1504,USD,anuefund_public
2023-07-28,111.1704,USD,anuefund_public
2023-07-31,112.0708,USD,anuefund_public
2023-08-01,112.5273,USD,anuefund_public
2023-08-02,110.6035,USD,anuefund_public
2023-08-03,108.2941,USD,anuefund_public
2023-08-04,107.2433,USD,anuefund_public
2023-08-07,107.9835,USD,anuefund_public
2023-08-08,106.0107,USD,anuefund_public
2023-08-09,106.2149,USD,anuefund_public
2023-08-10,106.3744,USD,anuefund_public
2023-08-11,106.1623,USD,anuefund_public
2023-08-14,107.7577,USD,anuefund_public
2023-08-15,105.9702,USD,anuefund_public
2023-08-16,103.8651,USD,anuefund_public
2023-08-17,102.7883,USD,anuefund_public
2023-08-18,100.7782,USD,anuefund_public
2023-08-21,101.1826,USD,anuefund_public
2023-08-22,102.3718,USD,anuefund_public
2023-08-23,102.5894,USD,anuefund_public
2023-08-24,105.7906,USD,anuefund_public
2023-08-25,106.2761,USD,anuefund_public
2023-08-28,104.9636,USD,anuefund_public
2023-08-29,106.8773,USD,anuefund_public
2023-08-30,110.0941,USD,anuefund_public
2023-08-31,109.6248,USD,anuefund_public
2023-09-01,108.7356,USD,anuefund_public
2023-09-05,106.2252,USD,anuefund_public
2023-09-06,104.069,USD,anuefund_public
2023-09-07,103.8608,USD,anuefund_public
2023-09-08,104.334,USD,anuefund_public
2023-09-11,104.9295,USD,anuefund_public
2023-09-12,104.5492,USD,anuefund_public
2023-09-13,104.8717,USD,anuefund_public
2023-09-14,105.1955,USD,anuefund_public
2023-09-15,105.9125,USD,anuefund_public
2023-09-18,108.3288,USD,anuefund_public
2023-09-19,109.2978,USD,anuefund_public
2023-09-20,107.512,USD,anuefund_public
2023-09-21,107.4228,USD,anuefund_public
2023-09-22,106.1841,USD,anuefund_public
2023-09-25,105.1359,USD,anuefund_public
2023-09-26,103.9596,USD,anuefund_public
2023-09-27,101.1995,USD,anuefund_public
2023-09-28,98.2085,USD,anuefund_public
2023-09-29,99.2228,USD,anuefund_public
2023-10-02,97.6832,USD,anuefund_public
2023-10-03,94.127,USD,anuefund_public
2023-10-04,94.9503,USD,anuefund_public
2023-10-05,94.1317,USD,anuefund_public
2023-10-06,95.1373,USD,anuefund_public
2023-10-09,97.9362,USD,anuefund_public
2023-10-10,99.426,USD,anuefund_public
2023-10-11,101.0073,USD,anuefund_public
2023-10-12,102.3766,USD,anuefund_public
2023-10-13,101.3028,USD,anuefund_public
2023-10-16,105.9337,USD,anuefund_public
2023-10-17,104.4395,USD,anuefund_public
2023-10-18,107.1452,USD,anuefund_public
2023-10-19,107.4273,USD,anuefund_public
2023-10-20,107.5808,USD,anuefund_public
2023-10-23,107.7112,USD,anuefund_public
2023-10-24,107.1812,USD,anuefund_public
